model,dataflow,array,layer,avf,std_avf
Cifar-10 CNN,IS,512x512,conv4,0.033212332100941454,6.075393494896768e-05
Cifar-10 CNN,IS,512x512,dense1,0.0006418632703248157,5.709279121876488e-06
Cifar-10 CNN,IS,512x512,classifier,0.0003365876406152312,1.2032286544147267e-07
Cifar-10 CNN,OS,32x32,conv1,0.410716640553597,0.0018536114441871083
Cifar-10 CNN,OS,32x32,conv2,0.737470398252042,0.006933541371228211
Cifar-10 CNN,OS,32x32,conv3,0.6388620963091118,0.015989712399171817
Cifar-10 CNN,OS,32x32,conv4,0.5978811327918648,0.004547590896211807
Cifar-10 CNN,OS,32x32,dense1,0.023257523502963416,0.00029370408058977616
Cifar-10 CNN,OS,32x32,classifier,0.007084920325495842,6.107320752450285e-05
Cifar-10 CNN,OS,64x64,conv1,0.1706400166191832,0.0006741125380355709
Cifar-10 CNN,OS,64x64,conv2,0.3339297711637522,0.003078362664513378
Cifar-10 CNN,OS,64x64,conv3,0.48288115926856506,0.011610620309951396
Cifar-10 CNN,OS,64x64,conv4,0.558764042817345,0.004170828278357051
Cifar-10 CNN,OS,64x64,dense1,0.011455107486470238,0.00014402626441428892
Cifar-10 CNN,OS,64x64,classifier,0.0017712300813739605,1.5268301881125712e-05
Cifar-10 CNN,OS,128x128,conv1,0.06897859436455261,0.0002181171652382776
Cifar-10 CNN,OS,128x128,conv2,0.1417164962278516,0.0012574242179465773
Cifar-10 CNN,OS,128x128,conv3,0.17710113670023692,0.004106362751801532
Cifar-10 CNN,OS,128x128,conv4,0.26451874082542903,0.001944125918366973
Cifar-10 CNN,OS,128x128,dense1,0.005563552523644085,6.93444347773487e-05
Cifar-10 CNN,OS,128x128,classifier,0.0004428075203434901,3.817075470281428e-06
Cifar-10 CNN,OS,256x256,conv1,0.027896344701167246,6.55511693402272e-05
Cifar-10 CNN,OS,256x256,conv2,0.05575956391607896,0.0004602197101190661
Cifar-10 CNN,OS,256x256,conv3,0.07699394030448717,0.0017539322684820297
Cifar-10 CNN,OS,256x256,conv4,0.06612968520635726,0.00048603147959174327
Cifar-10 CNN,OS,256x256,dense1,0.0026347498315363884,3.227974093274428e-05
Cifar-10 CNN,OS,256x256,classifier,0.00011070188008587253,9.54268867570357e-07
Cifar-10 CNN,OS,512x512,conv1,0.011744019598023505,1.8230206857933255e-05
Cifar-10 CNN,OS,512x512,conv2,0.022178696609998536,0.00016658657112760545
Cifar-10 CNN,OS,512x512,conv3,0.019248485076121792,0.00043848306712050743
Cifar-10 CNN,OS,512x512,conv4,0.016532421301589315,0.00012150786989793582
Cifar-10 CNN,OS,512x512,dense1,0.001197093226946155,1.418259579115126e-05
Cifar-10 CNN,OS,512x512,classifier,2.7675470021468132e-05,2.3856721689258925e-07
VGG-16,WS,32x32,block1_conv1,0.8409088365499404,1.1102230246251565e-16
VGG-16,WS,32x32,block1_conv2,0.8431777412389762,0.011585175258722222
